,time,BBDC4,GGBR4,MGLU3
232,2022-03-11T11:00:00-03:00,20.88,30.29,5.95
233,2022-03-11T12:00:00-03:00,20.89,30.0,5.92
234,2022-03-11T13:00:00-03:00,20.8,30.28,5.9
235,2022-03-11T14:00:00-03:00,20.88,30.32,5.89
236,2022-03-11T15:00:00-03:00,20.81,30.26,5.83
237,2022-03-11T16:00:00-03:00,20.77,30.23,5.75
238,2022-03-11T17:00:00-03:00,20.68,30.02,5.72
239,2022-03-11T18:00:00-03:00,20.7,30.22,5.69
240,2022-03-14T10:00:00-03:00,20.98,29.43,5.55
241,2022-03-14T11:00:00-03:00,21.09,29.34,5.57
242,2022-03-14T12:00:00-03:00,21.04,29.04,5.52
243,2022-03-14T13:00:00-03:00,21.0,29.15,5.45
244,2022-03-14T14:00:00-03:00,20.92,28.81,5.43
245,2022-03-14T15:00:00-03:00,20.87,28.94,5.4
246,2022-03-14T16:00:00-03:00,20.89,28.95,5.33
248,2022-03-15T10:00:00-03:00,20.58,27.87,4.71
249,2022-03-15T11:00:00-03:00,20.77,27.95,4.96
250,2022-03-15T12:00:00-03:00,20.87,28.05,4.88
251,2022-03-15T13:00:00-03:00,20.79,28.43,4.83
252,2022-03-15T14:00:00-03:00,20.79,28.05,4.9
253,2022-03-15T15:00:00-03:00,20.77,27.94,4.88
254,2022-03-15T16:00:00-03:00,20.76,27.72,4.89
255,2022-03-15T17:00:00-03:00,20.8,27.56,4.87
256,2022-03-16T10:00:00-03:00,20.92,28.74,5.13
257,2022-03-16T11:00:00-03:00,20.95,28.26,5.15
258,2022-03-16T12:00:00-03:00,20.98,28.23,5.1
259,2022-03-16T13:00:00-03:00,20.97,28.18,5.09
260,2022-03-16T14:00:00-03:00,20.86,27.89,5.1
261,2022-03-16T15:00:00-03:00,20.95,28.08,5.12
262,2022-03-16T16:00:00-03:00,21.08,28.08,5.09
263,2022-03-16T17:00:00-03:00,21.1,28.16,5.13
264,2022-03-17T10:00:00-03:00,21.14,29.04,5.19
265,2022-03-17T11:00:00-03:00,20.96,29.4,5.25
266,2022-03-17T12:00:00-03:00,21.09,29.3,5.33
267,2022-03-17T13:00:00-03:00,21.16,29.39,5.34
268,2022-03-17T14:00:00-03:00,21.16,29.63,5.37
269,2022-03-17T15:00:00-03:00,21.16,29.53,5.35
270,2022-03-17T16:00:00-03:00,21.11,29.54,5.52
271,2022-03-17T17:00:00-03:00,21.18,29.53,5.54
272,2022-03-18T10:00:00-03:00,21.22,29.48,5.61
273,2022-03-18T11:00:00-03:00,21.11,29.82,5.66
274,2022-03-18T12:00:00-03:00,20.9,29.62,5.8
275,2022-03-18T13:00:00-03:00,20.96,29.82,5.81
276,2022-03-18T14:00:00-03:00,20.92,30.04,5.79
277,2022-03-18T15:00:00-03:00,20.91,30.08,5.79
278,2022-03-18T16:00:00-03:00,21.02,30.0,5.77
279,2022-03-18T17:00:00-03:00,21.13,30.49,5.82
280,2022-03-21T10:00:00-03:00,21.25,30.78,5.86
281,2022-03-21T11:00:00-03:00,21.49,30.8,5.79
282,2022-03-21T12:00:00-03:00,21.5,30.6,5.85
283,2022-03-21T13:00:00-03:00,21.48,30.6,5.78
284,2022-03-21T14:00:00-03:00,21.59,30.4,5.73
285,2022-03-21T15:00:00-03:00,21.59,30.33,5.73
286,2022-03-21T16:00:00-03:00,21.57,30.28,5.68
287,2022-03-21T17:00:00-03:00,21.63,30.38,5.72
288,2022-03-22T10:00:00-03:00,21.98,30.06,5.88
289,2022-03-22T11:00:00-03:00,22.01,29.9,5.92
290,2022-03-22T12:00:00-03:00,21.87,29.96,5.81
291,2022-03-22T13:00:00-03:00,21.98,29.97,5.77
